ID,PaperID,EntityName,EntityType
1,0001418189999fea7f7cbe3e82703d71c85a6fe5,Egberinck,PERSON
2,0001418189999fea7f7cbe3e82703d71c85a6fe5,Burrick,PERSON
3,0001418189999fea7f7cbe3e82703d71c85a6fe5,''Department of Medicine,ORG
4,0001418189999fea7f7cbe3e82703d71c85a6fe5,Faculty of Veterinary Science,ORG
5,0001418189999fea7f7cbe3e82703d71c85a6fe5,E. Cornelissen.,PERSON
6,0001418189999fea7f7cbe3e82703d71c85a6fe5,Institute for the Promotion of Innovation through Science & Technology,ORG
7,0001418189999fea7f7cbe3e82703d71c85a6fe5,Ghent University,ORG
8,00016663c74157a66b4d509d5c4edffd5391bbe0,NULL,NULL
9,0005d253951fedc237715a37db147032eea28912,NULL,NULL
10,00060fb61742ff60e4e3ba4648c74a34cfe9560d,NULL,NULL
11,00073cb65dd2596249230fab8b15a71c4a135895,Yen,PERSON
12,00073cb65dd2596249230fab8b15a71c4a135895,NHP,ORG
13,00073cb65dd2596249230fab8b15a71c4a135895,Ministry of Health,ORG
14,000affa746a03f1fe4e3b3ef1a62fdfa9b9ac52a,NULL,NULL
15,000bc3d4637530496ac4cb798e10d95709eff92d,NULL,NULL
16,000e754142ba65ef77c6fdffcbcbe824e141ea7b,NULL,NULL
17,000eec3f1e93c3792454ac59415c928ce3a6b4ad,NULL,NULL
18,001259ae6d9bfa9376894f61aa6b6c5f18be2177,National Multiple Sclerosis Society,ORG
19,0014b643b47d9b881e401ad5c4995622e0a39433,HRS,ORG
20,0014b643b47d9b881e401ad5c4995622e0a39433,AHA ECG,ORG
21,0014b643b47d9b881e401ad5c4995622e0a39433,Arrhythmia Committee,ORG
22,0016983545c217458b711d5aaad5fba583d81171,NULL,NULL
23,001916486b2012ccc611fe18d4763f9e81517cbb,NULL,NULL
24,001b7a3388e3c1e712a01e30cdd8dbd3e8535e1e,Edmond J. Safra Center for Bioinformatics,ORG
25,001b8a3bcea5b3a810fd9d03a1bc51cf708fe399,Gregoire Altan-Bonnet,PERSON
